1,2022-10-12 12:47:02,+7 (965) 286-34-10,4627 3019 0269 6662,"Валовая улица, 11-19 с1","Луговая улица, 6А",18.81,282.15
2,2022-10-12 12:50:02,+7 (974) 683-22-78,5489 9953 6231 1789,"Волгоградский проспект, 21 с11","Рабочая улица, 84 с24",14.22,213.30
3,2022-10-12 12:52:02,+7 (941) 239-10-32,4841 5760 5182 9376,"Большая Академическая улица, 18Б","Алтуфьевское шоссе, 102 к2 с2",10.49,157.35
4,2022-10-12 12:54:01,+7 (937) 732-54-53,4627 2984 9648 4473,"Ясногорская улица, 3А","Большая Юшуньская улица, 12",21.85,327.75
5,2022-10-12 12:54:01,+7 (935) 927-53-87,4627 3043 2224 6142,"улица Димитрова, 57","проезд Донелайтиса, 15",28.18,422.70
6,2022-10-12 12:55:02,+7 (998) 128-66-33,4059 9278 5003 2737,"Муромская улица, 19","улица Багрицкого, 51 к2",29.08,436.20
7,2022-10-12 12:55:02,+7 (959) 829-75-10,5257 4468 0094 3494,"7-я улица Лазенки, 12 с11","улица Удальцова, 3 к12",22.30,334.50
8,2022-10-12 12:57:02,+7 (967) 767-75-86,4469 5597 5504 3263,"улица Толмачёва, 15","5-я Парковая улица, 56 к6",13.93,208.95
9,2022-10-12 12:57:02,+7 (952) 618-15-96,4104 6295 8760 2486,"Большая Черёмушкинская улица, 25 с101","улица Красина, 17 с2",7.83,117.45
10,2022-10-12 12:58:01,+7 (999) 574-71-59,5313 4451 7528 0807,"Буженинова улица, 30 с1","Большой Афанасьевский переулок, 33",22.29,334.35
11,2022-10-12 13:00:01,+7 (991) 634-14-68,4059 9255 9757 9952,"1-я Муравская улица, 38","Тенистый бульвар, 8",6.37,95.55
12,2022-10-12 13:04:01,+7 (942) 465-22-39,6766 3623 7724 7205,"Долгоруковская улица, 23 с1","Малая Семёновская улица, 3 с5",23.29,349.35
13,2022-10-12 13:05:02,+7 (972) 288-26-19,4478 1827 3416 5229,"Хавская улица, 5 к1","Можайское шоссе, 28А",22.35,335.25
14,2022-10-12 13:05:02,+7 (967) 678-30-22,5331 5746 5520 3761,"улица Буракова, 16А","улица Репина, 10",4.74,71.10
15,2022-10-12 13:05:02,+7 (994) 090-49-23,5445 7332 8555 5262,"Мосфильмовская улица, 52","2-й Железнодорожный тупик, 9",25.09,376.35
16,2022-10-12 13:06:01,+7 (959) 829-75-10,5257 4468 0094 3494,"проспект Мира, 71 с5","улица Шаболовка, 28/11 с2",20.76,311.40
17,2022-10-12 13:07:02,+7 (937) 166-04-76,4059 9272 4570 4446,"улица Шаболовка, 31 сБ","Новосходненское шоссе, 182",25.87,388.05
18,2022-10-12 13:08:01,+7 (941) 239-10-32,4841 5760 5182 9376,"Краснодарская улица, 51 к4","Матвеевская улица, 11",24.76,371.40
19,2022-10-12 13:08:01,+7 (999) 574-71-59,5313 4451 7528 0807,"улица Кирова, 34","Лермонтовская улица, 72",29.75,446.25
20,2022-10-12 13:08:01,+7 (956) 671-24-53,4478 1774 5518 7857,"проспект Мира, 105 с7","Рабочая улица, 24/23",3.07,46.05
